
# Most time was spent solving cryptharithm by converting strings to number according to mapping

3547035 function calls (3546933 primitive calls) in 4.694 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40/38    0.000    0.000    0.001    0.000 :0(__build_class__)
        4    0.000    0.000    0.000    0.000 :0(__contains__)
       30    0.000    0.000    0.000    0.000 :0(__exit__)
        4    0.000    0.000    0.000    0.000 :0(__new__)
        4    0.000    0.000    0.000    0.000 :0(_abc_init)
        6    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        1    0.000    0.000    0.000    0.000 :0(_getframe)
       45    0.000    0.000    0.000    0.000 :0(acquire_lock)
        9    0.000    0.000    0.000    0.000 :0(add)
       18    0.000    0.000    0.000    0.000 :0(allocate_lock)
      268    0.000    0.000    0.000    0.000 :0(append)
       11    0.000    0.000    0.000    0.000 :0(callable)
        4    0.000    0.000    0.000    0.000 :0(compile)
        3    0.001    0.000    0.001    0.000 :0(create_dynamic)
        3    0.000    0.000    0.000    0.000 :0(decode)
       20    0.000    0.000    0.000    0.000 :0(encode)
       48    0.000    0.000    0.000    0.000 :0(endswith)
        1    0.000    0.000    0.000    0.000 :0(eval)
      7/1    0.000    0.000    4.683    4.683 :0(exec)
        3    0.000    0.000    0.000    0.000 :0(exec_dynamic)
        5    0.000    0.000    0.000    0.000 :0(extend)
        4    0.000    0.000    0.000    0.000 :0(fileno)
       22    0.000    0.000    0.000    0.000 :0(find)
        6    0.000    0.000    0.000    0.000 :0(from_bytes)
       34    0.000    0.000    0.000    0.000 :0(fspath)
       69    0.000    0.000    0.000    0.000 :0(get)
       18    0.000    0.000    0.000    0.000 :0(get_ident)
        4    0.000    0.000    0.000    0.000 :0(get_terminal_size)
       64    0.000    0.000    0.000    0.000 :0(getattr)
        9    0.000    0.000    0.000    0.000 :0(getcwd)
        1    0.000    0.000    0.000    0.000 :0(groups)
       63    0.000    0.000    0.000    0.000 :0(hasattr)
        3    0.000    0.000    0.000    0.000 :0(index)
        4    0.000    0.000    0.000    0.000 :0(intern)
        9    0.000    0.000    0.000    0.000 :0(is_builtin)
        9    0.000    0.000    0.000    0.000 :0(is_frozen)
       15    0.000    0.000    0.000    0.000 :0(isalnum)
        2    0.000    0.000    0.000    0.000 :0(isalpha)
       12    0.000    0.000    0.000    0.000 :0(isascii)
        4    0.000    0.000    0.000    0.000 :0(isidentifier)
      265    0.000    0.000    0.000    0.000 :0(isinstance)
        5    0.000    0.000    0.000    0.000 :0(items)
        1    0.000    0.000    0.000    0.000 :0(iter)
  1181081    0.534    0.000    0.534    0.000 :0(join)
  206/186    0.000    0.000    0.000    0.000 :0(len)
        6    0.001    0.000    0.001    0.000 :0(loads)
       15    0.000    0.000    0.000    0.000 :0(lower)
        1    0.000    0.000    0.000    0.000 :0(lstrip)
